"state","city"
"MG","ÁGUAS FORMOSAS"
"MG","ÁGUAS VERMELHAS"
"MG","ALÉM PARAÍBA"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALFENAS"
"MG","ALMENARA"
"MG","ALPERCATA"
"MG","ALTEROSA"
"MG","ALTEROSA"
"MG","ALTEROSA"
"MG","ALVINÓPOLIS"
"MG","ANDRADAS"
"MG","ANDRADAS"
"MG","ANDRADAS"
"MG","ANDRADAS"
"MG","ANTÔNIO DIAS"
"MG","ARAÇUAÍ"
"MG","ARAGUARI"
"MG","ARAGUARI"
"MG","ARAGUARI"
"MG","ARAGUARI"
"MG","ARAGUARI"
"MG","ARAGUARI"
"MG","ARAÚJOS"
"MG","ARAXÁ"
"MG","ARAXÁ"
"MG","ARAXÁ"
"MG","ARAXÁ"
"MG","ARAXÁ"
"MG","ARAXÁ"
"MG","ARAXÁ"
"MG","ARAXÁ"
"MG","ARAXÁ"
"MG","ARCEBURGO"
"MG","ARCOS"
"MG","ARCOS"
"MG","AREADO"
"MG","AREADO"
"MG","AREADO"
"MG","AREADO"
"MG","AREADO"
"MG","AREADO"
"MG","AREADO"
"MG","AREADO"
"MG","AREADO"
"MG","AREADO"
"MG","ARINOS"
"MG","AUGUSTO DE LIMA"
"MG","BAMBUÍ"
"MG","BANDEIRA"
"MG","BANDEIRA DO SUL"
"MG","BARÃO DE COCAIS"
"MG","BARÃO DE COCAIS"
"MG","BARÃO DE COCAIS"
"MG","BARÃO DE COCAIS"
"MG","BARBACENA"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
"MG","BELO HORIZONTE"
